iter	Passed	Remaining
789	33710	8961
790	33758	8919
791	33807	8878
792	33844	8834
793	33882	8790
794	33922	8747
795	33963	8704
796	33998	8659
797	34034	8615
798	34072	8571
799	34143	8535
800	34195	8495
801	34226	8450
802	34268	8407
803	34309	8363
804	34343	8319
805	34383	8276
806	34421	8232
807	34458	8188
808	34503	8146
809	34542	8102
810	34583	8059
811	34624	8016
812	34665	7973
813	34727	7935
814	34799	7899
815	34852	7858
816	34900	7817
817	34947	7775
818	35007	7736
819	35052	7694
820	35091	7650
821	35136	7608
822	35185	7567
823	35224	7523
824	35260	7479
825	35311	7438
826	35358	7396
827	35396	7352
828	35448	7312
829	35503	7271
830	35545	7228
831	35591	7186
832	35632	7143
833	35681	7102
834	35734	7061
835	35776	7018
836	35813	6974
837	35863	6932
838	35907	6890
839	35958	6849
840	35997	6805
841	36037	6762
842	36084	6720
843	36124	6676
844	36167	6634
845	36204	6590
846	36242	6546
847	36280	6503
848	36321	6460
849	36362	6416
850	36409	6374
851	36445	6330
852	36489	6288
853	36526	6244
854	36563	6200
855	36626	6161
856	36663	6117
857	36702	6074
858	36743	6031
859	36784	5988
860	36803	5941
861	36841	5898
862	36895	5857
863	36935	5813
864	36970	5769
865	37005	5726
866	37050	5683
867	37130	5646
868	37178	5604
869	37216	5561
870	37254	5517
871	37290	5473
872	37345	5432
873	37391	5390
874	37457	5351
875	37542	5314
876	37593	5272
877	37650	5231
878	37707	5190
879	37743	5146
880	37782	5103
881	37830	5061
882	37870	5017
883	37920	4975
884	37963	4933
885	38001	4889
886	38043	4846
887	38091	4804
888	38134	4761
889	38167	4717
890	38201	4673
891	38238	4629
892	38298	4589
893	38340	4545
894	38376	4502
895	38417	4459
896	38455	4415
897	38494	4372
898	38537	4329
899	38585	4287
900	38620	4243
901	38659	4200
902	38698	4156
903	38736	4113
904	38778	4070
905	38825	4028
906	38863	3984
907	38901	3941
908	38941	3898
909	38991	3856
910	39029	3812
911	39071	3770
912	39122	3727
913	39159	3684
914	39203	3641
915	39242	3598
916	39269	3554
917	39318	3512
918	39353	3468
919	39412	3427
920	39450	3383
921	39489	3340
922	39535	3298
923	39572	3254
924	39615	3212
925	39646	3168
926	39677	3124
927	39721	3081
928	39768	3039
929	39809	2996
930	39850	2953
931	39878	2909
932	39920	2866
933	39964	2824
934	40001	2780
935	40043	2737
936	40080	2694
937	40125	2652
938	40166	2609
939	40217	2567
940	40260	2524
941	40314	2482
942	40352	2439
943	40391	2396
944	40436	2353
945	40492	2311
946	40529	2268
947	40563	2224
948	40606	2182
949	40639	2138
950	40687	2096
951	40727	2053
952	40746	2009
953	40776	1966
954	40815	1923
955	40850	1880
956	40886	1837
957	40939	1794
958	40977	1751
959	41016	1709
960	41047	1665
961	41092	1623
962	41107	1579
963	41150	1536
964	41208	1494
965	41252	1451
966	41302	1409
967	41347	1366
968	41389	1324
969	41444	1281
970	41491	1239
971	41542	1196
972	41583	1153
973	41631	1111
974	41676	1068
975	41717	1025
976	41755	982
977	41779	939
978	41833	897
979	41873	854
980	41930	812
981	41966	769
